"rank","property_id","address","latitude","longitude","price","currency","bathrooms","bedrooms","area","land_area","zestimate","rent_zestimate","days_on_zillow","sold_date","is_zillow_owned","image","listing_type","status_text","broker_name","input","property_url","listing_url"
"380","16957414","3219 Polk Ave, San Diego, CA 92104","32.75205","-117.1247","799000","USD","1","2","810 sqft","","582900","3354","10","","False","https://photos.zillowstatic.com/fp/11176e2f997e456cd24cd5d098502c84-p_e.jpg","FOR SALE","House for sale","Marianne Malek, Broker","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/3219-Polk-Ave-San-Diego-CA-92104/16957414_zpid/","https://www.zillow.com/san-diego-ca/10_p/"
"12","19590788","1801 Willow St, San Jose, CA 95125","37.301167","-121.918724","2350000","USD","3","4","1996 sqft","","2489700","4995","3","","False","https://photos.zillowstatic.com/fp/f967921c9dbdfd781c34da8ad3a3dc18-p_e.jpg","FOR SALE","House for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/1801-Willow-St-San-Jose-CA-95125/19590788_zpid/","https://www.zillow.com/homes/San-Jose,-CA_rb/"
"97","16648030","841 Kalpati Cir APT A, Carlsbad, CA 92008","33.14801","-117.334816","999900","USD","3","2","1750 sqft","","1032800","3875","3","","False","https://photos.zillowstatic.com/fp/c3faafa19ba988c5dc18dd5b9817ad37-p_e.jpg","FOR SALE","Condo for sale","First Team Real Estate","https://www.zillow.com/homes/Carlsbad,-CA_rb/","https://www.zillow.com/homedetails/841-Kalpati-Cir-APT-A-Carlsbad-CA-92008/16648030_zpid/","https://www.zillow.com/carlsbad-ca/3_p/"
"88","16950592","3262 Loma Riviera Dr, San Diego, CA 92110","32.75623","-117.225204","795000","USD","2","2","1400 sqft","","827200","3999","2","","False","https://photos.zillowstatic.com/fp/892cd9b3188a884f3cd96d786cc13169-p_e.jpg","FOR SALE","Townhouse for sale","Coldwell Banker West","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/3262-Loma-Riviera-Dr-San-Diego-CA-92110/16950592_zpid/","https://www.zillow.com/san-diego-ca/3_p/"
"778","16737931","18614 Caminito Cantilena UNIT 334, San Diego, CA 92128","33.046844","-117.07157","450000","USD","1","1","716 sqft","","","2394","61","","False","https://photos.zillowstatic.com/fp/6a4f846cf2c9dcfb7621e4b792d1ff19-p_e.jpg","FOR SALE","Condo for sale","Realty One Group West","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/18614-Caminito-Cantilena-UNIT-334-San-Diego-CA-92128/16737931_zpid/","https://www.zillow.com/san-diego-ca/19_p/"
"249","2091601783","200 Ford Rd SPC 95, San Jose, CA 95138","37.253147","-121.793335","244900","USD","2","3","1248 sqft","","238000","465","254","","False","https://photos.zillowstatic.com/fp/3e1f8cd653e34b3009d36c9d0a9ba0a6-p_e.jpg","FOR SALE","Home for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/200-Ford-Rd-SPC-95-San-Jose-CA-95138/2091601783_zpid/","https://www.zillow.com/san-jose-ca/7_p/"
"592","16849117","1351 Rhoda Dr, La Jolla, CA 92037","32.84071","-117.266945","3300000","USD","2","3","1979 sqft","","3184100","10223","31","","False","https://photos.zillowstatic.com/fp/34c86c6fee107018b1812572bc7b2827-p_e.jpg","FOR SALE","House for sale","Compass","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/1351-Rhoda-Dr-La-Jolla-CA-92037/16849117_zpid/","https://www.zillow.com/san-diego-ca/15_p/"
"126","325857210","142 Fixie, Irvine, CA 92618","33.690655","-117.73346","1430000","USD","4","3","2100 sqft","","1471500","4033","9","","False","https://photos.zillowstatic.com/fp/b6c8676a93809143df5209953749888d-p_e.jpg","FOR SALE","Condo for sale","Pinnacle Real Estate Group","https://www.zillow.com/homes/Irvine,-CA_rb/","https://www.zillow.com/homedetails/142-Fixie-Irvine-CA-92618/325857210_zpid/","https://www.zillow.com/irvine-ca/4_p/"
"4","25553123","25041 Via Portola, Laguna Niguel, CA 92677","33.532112","-117.692635","1599900","USD","2","4","1642 sqft","","1618700","4723","15","","False","https://photos.zillowstatic.com/fp/673141811eda09195d1fb1b32ce93d8a-p_e.jpg","FOR SALE","House for sale","Sal Nesh, Broker","https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/","https://www.zillow.com/homedetails/25041-Via-Portola-Laguna-Niguel-CA-92677/25553123_zpid/","https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
"161","17010830","3530 Menlo Ave, San Diego, CA 92105","32.742714","-117.094696","988800","USD","2","3","1271 sqft","","1034100","3282","6","","False","https://photos.zillowstatic.com/fp/b8560179e8eb03bb4633a2d1e989e2f7-p_e.jpg","FOR SALE","House for sale","Berkshire Hathaway HomeService","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/3530-Menlo-Ave-San-Diego-CA-92105/17010830_zpid/","https://www.zillow.com/san-diego-ca/4_p/"
"310","2098752827","2151 Oakland Rd SPC 38, San Jose, CA 95131","37.400013","-121.90679","355000","USD","2","3","1440 sqft","","384300","543","30","","False","https://photos.zillowstatic.com/fp/7f450e82116b92cb6d874ba3416c6453-p_e.jpg","FOR SALE","Home for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/2151-Oakland-Rd-SPC-38-San-Jose-CA-95131/2098752827_zpid/","https://www.zillow.com/san-jose-ca/8_p/"
"237","2052854458","Homes Available Soon, Almaden Heights","37.20187","-121.83351","0","USD","","","0 sqft","","","4632","5","","False","https://photos.zillowstatic.com/fp/894700785bf987b0c2ac7512c784efea-p_e.jpg","FOR SALE","New construction","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/community/almaden-heights/2052854458_zpid/","https://www.zillow.com/san-jose-ca/6_p/"
"1","82947115","6550 Ponto Dr SPACE 156, Carlsbad, CA 92011","33.10886","-117.320854","249000","USD","2","3","1190 sqft","","243100","1101","36","","False","https://photos.zillowstatic.com/fp/512550f78d9b17099e7715a8968e39b4-p_e.jpg","FOR SALE","Home for sale","American Dreams Real Estate","https://www.zillow.com/homes/Carlsbad,-CA_rb/","https://www.zillow.com/homedetails/6550-Ponto-Dr-SPACE-156-Carlsbad-CA-92011/82947115_zpid/","https://www.zillow.com/homes/Carlsbad,-CA_rb/"
"757","16959490","4428 Bancroft St, San Diego, CA 92116","32.757843","-117.124245","1495000","USD","2","5","1881 sqft","","1477900","5066","23","","False","https://photos.zillowstatic.com/fp/6615c545807527b4d184bd50c533af06-p_e.jpg","FOR SALE","House for sale","Coldwell Banker West","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/4428-Bancroft-St-San-Diego-CA-92116/16959490_zpid/","https://www.zillow.com/san-diego-ca/19_p/"
"442","295351654","1204 Lincoln Ave, San Diego, CA 92103","32.752434","-117.15326","2500000","USD","3","5","3512 sqft","","2421100","7589","32","","False","https://photos.zillowstatic.com/fp/fa6a0b54ba446658e79564126669f482-p_e.jpg","FOR SALE","House for sale","Compass","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/1204-Lincoln-Ave-San-Diego-CA-92103/295351654_zpid/","https://www.zillow.com/san-diego-ca/11_p/"
