longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rank,property_id,address,price,currency,bathrooms,bedrooms,area,land_area,zestimate,rent_zestimate,days_on_zillow,sold_date,is_zillow_owned,image,listing_type,status_text,broker_name,input,property_url,listing_url
-117.74,33.51,29.0,1720.0,269.0,612.0,258.0,7.8239,500001.0,<1H OCEAN,59,2073712579,"2 Saint Tropez #28, Laguna Niguel, CA 92677",3200000,USD,,,,1 acres,,3245.0,142,,False,https://photos.zillowstatic.com/fp/2eac3d250034ea9cd95cfb7230230ec2-p_e.jpg,FOR SALE,Lot / Land for sale,EQTY Forbes Global Properties,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/2-Saint-Tropez-28-Laguna-Niguel-CA-92677/2073712579_zpid/,https://www.zillow.com/laguna-niguel-ca/2_p/
-117.74,33.51,29.0,1720.0,269.0,612.0,258.0,7.8239,500001.0,<1H OCEAN,22,25575465,"20 Le Conte, Laguna Niguel, CA 92677",4995000,USD,6.0,4.0,5052 sqft,,,14049.0,167,,False,https://photos.zillowstatic.com/fp/0bb8bf1168e4ad462b883431b2f62b4d-p_e.jpg,FOR SALE,House for sale,The Oppenheim Group,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/20-Le-Conte-Laguna-Niguel-CA-92677/25575465_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.73,33.53,3.0,6388.0,920.0,2129.0,819.0,7.8915,420600.0,<1H OCEAN,37,25572462,"29 Vista Montemar, Laguna Niguel, CA 92677",5680000,USD,7.0,5.0,7605 sqft,,5443800.0,17349.0,47,,False,https://photos.zillowstatic.com/fp/5def253d5c8a3fcd776cda9ee6ff03b3-p_e.jpg,FOR SALE,House for sale,PACIFIC STERLING REALTY,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/29-Vista-Montemar-Laguna-Niguel-CA-92677/25572462_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.72,33.53,14.0,1672.0,295.0,704.0,293.0,5.1129,251300.0,<1H OCEAN,11,25571314,"29682 Ellendale Dr, Laguna Niguel, CA 92677",1299000,USD,2.0,4.0,1448 sqft,,1309900.0,4870.0,2,,False,https://photos.zillowstatic.com/fp/b2f253a8138f62f21ef9f72e83956006-p_e.jpg,FOR SALE,House for sale,Property Leaders,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/29682-Ellendale-Dr-Laguna-Niguel-CA-92677/25571314_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.72,33.53,14.0,1672.0,295.0,704.0,293.0,5.1129,251300.0,<1H OCEAN,58,25571811,"29801 Running Deer Ln, Laguna Niguel, CA 92677",1400000,USD,2.0,2.0,1819 sqft,,1375500.0,5234.0,52,,False,https://photos.zillowstatic.com/fp/f938a6676abf5a47bac27371e421686a-p_e.jpg,FOR SALE,House for sale,NATIONAL REALTY GROUP,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/29801-Running-Deer-Ln-Laguna-Niguel-CA-92677/25571811_zpid/,https://www.zillow.com/laguna-niguel-ca/2_p/
-117.72,33.51,17.0,3617.0,597.0,1176.0,571.0,5.133,324000.0,<1H OCEAN,20,25575300,"13 Morning Wood Dr, Laguna Niguel, CA 92677",2550000,USD,3.0,3.0,2712 sqft,,2517800.0,7583.0,23,,False,https://photos.zillowstatic.com/fp/e4b721d06be24fdb2ab40aa604e7405f-p_e.jpg,FOR SALE,House for sale,Anvil Real Estate,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/13-Morning-Wood-Dr-Laguna-Niguel-CA-92677/25575300_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.72,33.51,17.0,3617.0,597.0,1176.0,571.0,5.133,324000.0,<1H OCEAN,49,25681348,"31462 W 9th Dr #RA47, Laguna Niguel, CA 92677",765000,USD,2.0,2.0,1041 sqft,,753900.0,2233.0,2,,False,https://photos.zillowstatic.com/fp/94cc974862a955c53dbc0efbf0b91b82-p_e.jpg,FOR SALE,Condo for sale,Keller Williams SD Metro,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/31462-W-9th-Dr-RA47-Laguna-Niguel-CA-92677/25681348_zpid/,https://www.zillow.com/laguna-niguel-ca/2_p/
-117.73,33.51,5.0,4549.0,786.0,1238.0,632.0,6.1785,295900.0,<1H OCEAN,23,25771885,"67 Marseille, Laguna Niguel, CA 92677",1799000,USD,3.0,3.0,2721 sqft,,,8883.0,34,,False,https://photos.zillowstatic.com/fp/489a9ee478ea1c93ef8fd5209ceaad0f-p_e.jpg,FOR SALE,Condo for sale,"Balboa Real Estate, Inc","https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/67-Marseille-Laguna-Niguel-CA-92677/25771885_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.73,33.51,5.0,4549.0,786.0,1238.0,632.0,6.1785,295900.0,<1H OCEAN,55,25574633,"31042 Carrara Rd, Laguna Niguel, CA 92677",1349000,USD,2.0,3.0,1602 sqft,,1317500.0,4907.0,92,,False,https://photos.zillowstatic.com/fp/b99621c38a7235e9cfd2eaf092393543-p_e.jpg,FOR SALE,Condo for sale,MGA Associates,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/31042-Carrara-Rd-Laguna-Niguel-CA-92677/25574633_zpid/,https://www.zillow.com/laguna-niguel-ca/2_p/
-117.73,33.51,5.0,4549.0,786.0,1238.0,632.0,6.1785,295900.0,<1H OCEAN,25,25574839,"22832 Andara Rd, Laguna Niguel, CA 92677",1499000,USD,2.0,3.0,1930 sqft,,,5659.0,45,,False,https://photos.zillowstatic.com/fp/52bb505bd1a9574e27687210cb5dc49b-p_e.jpg,FOR SALE,House for sale,Team Fasnacht Realty,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/22832-Andara-Rd-Laguna-Niguel-CA-92677/25574839_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.73,33.51,5.0,4549.0,786.0,1238.0,632.0,6.1785,295900.0,<1H OCEAN,28,25574973,"31507 Crystal Sands Dr, Laguna Niguel, CA 92677",1265000,USD,3.0,2.0,1400 sqft,,1229900.0,5500.0,123,,False,https://photos.zillowstatic.com/fp/9d792322cf7cac57b4ec6a6f2665f149-p_e.jpg,FOR SALE,House for sale,First Team Real Estate,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/31507-Crystal-Sands-Dr-Laguna-Niguel-CA-92677/25574973_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.73,33.51,5.0,4549.0,786.0,1238.0,632.0,6.1785,295900.0,<1H OCEAN,32,25771966,"34 Toulon, Laguna Niguel, CA 92677",1329000,USD,3.0,2.0,1922 sqft,,1321500.0,8513.0,3,,False,https://photos.zillowstatic.com/fp/ebe1e18352d1689011223f34ce944195-p_e.jpg,FOR SALE,Townhouse for sale,First Team Real Estate,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/34-Toulon-Laguna-Niguel-CA-92677/25771966_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.73,33.51,5.0,4549.0,786.0,1238.0,632.0,6.1785,295900.0,<1H OCEAN,7,25771854,"3 Marseille #2, Laguna Niguel, CA 92677",1599900,USD,3.0,2.0,1877 sqft,,1419200.0,4168.0,3,,False,https://photos.zillowstatic.com/fp/411f97bc6c2df539ab98c9ec378a6566-p_e.jpg,FOR SALE,Condo for sale,Redfin,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/3-Marseille-2-Laguna-Niguel-CA-92677/25771854_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
